Season,Episode,Rating,Name,Spoken
3,5,8.8,Pierce,291
3,6,7.8,Pierce,603
3,7,8.6,Pierce,148
3,8,9.0,Pierce,148
3,9,8.5,Pierce,16
3,10,8.7,Pierce,124
3,11,7.8,Pierce,359
3,12,8.1,Pierce,49
3,13,8.2,Pierce,228
3,14,9.3,Pierce,54
3,15,8.2,Pierce,134
3,16,8.7,Pierce,111
3,17,9.4,Pierce,102
3,18,8.3,Pierce,121
3,19,9.2,Pierce,179
3,20,9.5,Pierce,408
3,21,9.1,Pierce,142
3,22,8.9,Pierce,145
4,1,7.4,Pierce,137
4,2,7.6,Pierce,434
4,3,7.4,Pierce,140
4,4,7.2,Pierce,105
4,5,7.5,Pierce,151
4,6,7.6,Pierce,98
4,7,6.8,Pierce,350
4,8,8.0,Pierce,247
4,9,7.0,Pierce,149
4,10,7.6,Pierce,0
4,11,8.1,Pierce,67
4,12,8.2,Pierce,0
4,13,7.8,Pierce,112
5,1,8.1,Pierce,127
5,2,8.6,Pierce,0
5,3,9.0,Pierce,0
5,4,9.2,Pierce,0
5,5,9.4,Pierce,0
5,6,8.2,Pierce,0
5,7,7.9,Pierce,0
5,8,9.0,Pierce,0
5,9,8.1,Pierce,0
5,10,8.5,Pierce,0
5,11,8.0,Pierce,0
5,12,7.9,Pierce,0
5,13,8.3,Pierce,0
6,1,7.9,Pierce,0
6,2,7.7,Pierce,0
6,3,7.9,Pierce,0
6,4,8.2,Pierce,0
6,5,7.9,Pierce,0
6,6,7.8,Pierce,0
6,7,7.5,Pierce,0
6,8,8.0,Pierce,0
6,9,7.8,Pierce,0
6,10,7.7,Pierce,0
6,11,9.1,Pierce,0
6,12,8.6,Pierce,0
6,13,9.6,Pierce,0
1,1,7.8,Dean,152
1,2,7.9,Dean,112
1,3,8.3,Dean,0
1,4,8.2,Dean,0
1,5,7.9,Dean,348
1,6,7.8,Dean,655
1,7,8.8,Dean,10
1,8,8.1,Dean,0
1,9,8.9,Dean,203
1,10,8.3,Dean,139
1,11,7.9,Dean,352
1,12,8.5,Dean,92
1,13,8.1,Dean,215
1,14,8.0,Dean,275
1,15,8.2,Dean,0
1,16,8.5,Dean,41
1,17,9.0,Dean,47
1,18,8.1,Dean,20
1,19,8.5,Dean,0
1,20,8.5,Dean,461
1,21,9.3,Dean,32
1,22,8.1,Dean,0
1,23,9.8,Dean,193
1,24,8.2,Dean,202
1,25,8.5,Dean,281
2,1,8.7,Dean,65
2,2,8.3,Dean,202
2,3,8.1,Dean,0
2,4,8.7,Dean,577
2,5,7.8,Dean,183
2,6,9.3,Dean,239
2,7,8.5,Dean,0
2,8,9.1,Dean,203
2,9,9.4,Dean,355
2,10,8.5,Dean,0
2,11,8.8,Dean,51
2,12,8.1,Dean,0
2,13,8.0,Dean,236
2,14,9.5,Dean,0
2,15,8.2,Dean,0
2,16,8.8,Dean,0
2,17,8.3,Dean,548
2,18,7.5,Dean,35
2,19,9.0,Dean,0
2,20,7.6,Dean,59
2,21,9.1,Dean,230
2,22,8.0,Dean,438
2,23,9.7,Dean,134
2,24,9.6,Dean,134
3,1,8.1,Dean,342
3,2,8.2,Dean,0
3,3,8.1,Dean,171
3,4,9.8,Dean,0
3,5,8.8,Dean,98
3,6,7.8,Dean,69
3,7,8.6,Dean,457
3,8,9.0,Dean,1261
3,9,8.5,Dean,0
3,10,8.7,Dean,155
3,11,7.8,Dean,142
3,12,8.1,Dean,111
3,13,8.2,Dean,261
3,14,9.3,Dean,123
3,15,8.2,Dean,240
3,16,8.7,Dean,161
3,17,9.4,Dean,98
3,18,8.3,Dean,555
3,19,9.2,Dean,250
3,20,9.5,Dean,0
3,21,9.1,Dean,207
3,22,8.9,Dean,172
4,1,7.4,Dean,548
4,2,7.6,Dean,18
4,3,7.4,Dean,0
4,4,7.2,Dean,438
4,5,7.5,Dean,128
4,6,7.6,Dean,297
4,7,6.8,Dean,932
4,8,8.0,Dean,373
4,9,7.0,Dean,422
4,10,7.6,Dean,123
4,11,8.1,Dean,395
4,12,8.2,Dean,130
4,13,7.8,Dean,248
5,1,8.1,Dean,319
5,2,8.6,Dean,214
5,3,9.0,Dean,615
5,4,9.2,Dean,0
5,5,9.4,Dean,121
5,6,8.2,Dean,128
5,7,7.9,Dean,48
5,8,9.0,Dean,153
5,9,8.1,Dean,148
5,10,8.5,Dean,305
5,11,8.0,Dean,152
5,12,7.9,Dean,394
5,13,8.3,Dean,246
6,1,7.9,Dean,325
6,2,7.7,Dean,542
6,3,7.9,Dean,316
6,4,8.2,Dean,710
6,5,7.9,Dean,548
6,6,7.8,Dean,419
6,7,7.5,Dean,256
6,8,8.0,Dean,113
6,9,7.8,Dean,89
6,10,7.7,Dean,589
6,11,9.1,Dean,395
6,12,8.6,Dean,87
6,13,9.6,Dean,341
1,1,7.8,Chang,0
1,2,7.9,Chang,349
1,3,8.3,Chang,0
1,4,8.2,Chang,133
1,5,7.9,Chang,331
1,6,7.8,Chang,0
1,7,8.8,Chang,232
1,8,8.1,Chang,30
1,9,8.9,Chang,0
1,10,8.3,Chang,466
1,11,7.9,Chang,39
1,12,8.5,Chang,95
1,13,8.1,Chang,44
1,14,8.0,Chang,0
1,15,8.2,Chang,74
1,16,8.5,Chang,256
1,17,9.0,Chang,65
1,18,8.1,Chang,94
1,19,8.5,Chang,27
1,20,8.5,Chang,6
1,21,9.3,Chang,4
1,22,8.1,Chang,16
1,23,9.8,Chang,91
1,24,8.2,Chang,366
1,25,8.5,Chang,72
2,1,8.7,Chang,169
2,2,8.3,Chang,132
2,3,8.1,Chang,75
2,4,8.7,Chang,47
2,5,7.8,Chang,32
2,6,9.3,Chang,154
2,7,8.5,Chang,55
2,8,9.1,Chang,0
2,9,9.4,Chang,0
2,10,8.5,Chang,0
2,11,8.8,Chang,49
2,12,8.1,Chang,158
2,13,8.0,Chang,179
2,14,9.5,Chang,52
2,15,8.2,Chang,321
2,16,8.8,Chang,0
2,17,8.3,Chang,0
2,18,7.5,Chang,442
2,19,9.0,Chang,129
2,20,7.6,Chang,87
2,21,9.1,Chang,137
2,22,8.0,Chang,395
2,23,9.7,Chang,97
2,24,9.6,Chang,0
3,1,8.1,Chang,101
3,2,8.2,Chang,192
3,3,8.1,Chang,494
3,4,9.8,Chang,0
3,5,8.8,Chang,12
3,6,7.8,Chang,23
3,7,8.6,Chang,0
3,8,9.0,Chang,57
3,9,8.5,Chang,0
3,10,8.7,Chang,29
3,11,7.8,Chang,0
3,12,8.1,Chang,168
3,13,8.2,Chang,0
3,14,9.3,Chang,10
3,15,8.2,Chang,76
3,16,8.7,Chang,18
3,17,9.4,Chang,6
3,18,8.3,Chang,245
3,19,9.2,Chang,61
3,20,9.5,Chang,0
3,21,9.1,Chang,387
3,22,8.9,Chang,0
4,1,7.4,Chang,0
4,2,7.6,Chang,0
4,3,7.4,Chang,0
4,4,7.2,Chang,80
4,5,7.5,Chang,0
4,6,7.6,Chang,441
4,7,6.8,Chang,18
4,8,8.0,Chang,136
4,9,7.0,Chang,37
4,10,7.6,Chang,145
4,11,8.1,Chang,0
4,12,8.2,Chang,193
4,13,7.8,Chang,31
5,1,8.1,Chang,76
5,2,8.6,Chang,35
5,3,9.0,Chang,19
5,4,9.2,Chang,114
